Word,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
(...) or so,phr.,,"used when you cannot be exact about a number, amount, or period of time and you think it may be a little more than the figure you are mentioning",تقریبا (...),roughly,,,"""● We have to leave in <font color=""""#0080bc"""">five minutes or so</font>.<br><br>● I stopped reading after <font color=""""#0080bc"""">thirty or so</font> pages.<br><br>● They raised two hundred pounds <font color=""""#0080bc"""">or so</font> for charity.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a matter of speculation,phr.,,an uncertain belief.,فرض، گمان، فرضیه,supposition,/ˌsʌpəˈzɪʃən/,"""<img src=""""supposition (1).jpg"""">""","""● The precise nature of the deal is <font color=""""#0080bc"""">a matter for speculation.</font><br>● Exact how much Mr. Obama will raise this year is <font color=""""#0080bc"""">a subject of speculation</font> and dispute.<br>● His private life is <font color=""""#0080bc"""">the subject of much speculation</font>.<br>● His future as a player has been <font color=""""#0080bc"""">the subject of intense speculation</font>.<br>● Their number is <font color=""""#0080bc"""">a matter of speculation</font>, since polygamists are generally reluctant to identify themselves.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solicitation,n.,/səˌlɪsɪˈteɪʃən/,"the act of asking someone for money, help, or information",درخواست، تقاضا,invitation,/ˌɪnvɪˈteɪʃən/,"""<img src=""""solicitation (1).jpg"""">""","""● <font color=""""#0080bc"""">the solicitation of</font> money for election funds<br>● He bowed to their <font color=""""#0080bc"""">solicitations</font> to become president of societies.<br>● The duty that is exercised in resisting <font color=""""#0080bc"""">the solicitations of</font> evils.<br>● <font color=""""#0080bc"""">The solicitations of</font> Jupiter's attractive force on a swiftly rushing body.<br><br>● The Justice Department has launched a broader inquiry into the alleged <font color=""""#0080bc"""">solicitation of</font> foreign donors by the Democrats, particularly Huang.<br>● In <font color=""""#0080bc"""">a solicitation of</font> grant applications for """"supporting male survivors of violence,"""" those groups often haven't had great infrastructure for reaching youth of color.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandon,v.,/əˈbændən/,to stop doing something because there are too many problems and it is impossible to continue,ترک کردن، رها کردن - تسلیم شدن، واگذار کردن,give up,"""<font color=""""darkblue"""">&nbsp; leave &nbsp; desert &nbsp; surrender &nbsp; yield</font><br>[sound:leave.mp3][sound:desert.mp3][sound:yield.mp3]""","""<img src=""""2009winter_depression_2.jpg"""">""","""● The village had been <font color=""""#0080bc"""">hastily abandoned</font>.<br>● They had to <font color=""""#0080bc"""">abandon</font> their lands and property to the invading forces.<br>● On December 5 Napoleon <font color=""""#0080bc"""">abandoned</font> the remnant of his armies on the Russian frontier.<br>● Traditional policies were simply <font color=""""#0080bc"""">abandoned</font>.<br>● By the time the rebel troops arrived, the village had already been <font color=""""#0080bc"""" style="""""""">abandoned</font>.<br>● Never had I seen him move with such <font color=""""#0080bc"""">abandon</font>, such reckless expression of his feelings.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandoned,adj.,/əˈbændənd/,having been deserted or cast off.,متروک، رها شده,left,/left/,"""<img src=""""abandoned (1).jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● a shelter for <font color=""""#0080bc"""">abandoned</font> cats<br>● Here and there the rusted hulk of an <font color=""""#0080bc"""">abandoned</font> car dots the landscape.<br>● They say they have picked up more than 900 <font color=""""#0080bc"""">abandoned</font> pets, since the storm ended.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberrant,adj.,/əˈberənt/,departing from an accepted standard.,نابه‌جا، منحرف - نامعمول، غیرعادی، نابه‌هنجار,abnormal,/æbˈnɔːrməl/,"""<img src=""""img1503855222870882233.jpg"""">""","""● <font color=""""#0080bc"""">aberrant</font> behaviour<br>● <font color=""""#0080bc"""">aberrant</font> sexuality<br>● An example of an <font color=""""#0080bc"""">aberrant</font><b> </b>behavior would be a usually calm person having a fit of rage.<br>● It was <font color=""""#0080bc"""">aberrant</font> of him to accept the job and downright silly of the government to appoint him.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abort,v.,/əˈbɔːrt/,to stop an activity because it would be difficult or dangerous to continue it,بی‌نتیجه ماندن، دست کشیدن از، نیمه‌کاره ماندن - سقط کردن بچه,quit,/kwɪt/,"""<img src=""""paste-f37be01addea57766739617deaf805e51eb50385.jpg"""">""","""● The rescue mission had to be <font color=""""#0080bc"""">aborted</font>.<br>● The captain instructed them to <font color=""""#0080bc"""">abort the mission</font>.<br>● The mission was <font color=""""#0080bc"""">aborted</font> after news came of the capture of the city.<br>● We had no option but to <font color=""""#0080bc"""">abort the mission</font>.<br>● I decided not to <font color=""""#0080bc"""">abort the pregnancy</font><br>● the organism can cause pregnant ewes to <font color=""""#0080bc"""">abort</font><br>● The 800,000 unborn children <font color=""""#0080bc"""">aborted</font> under the 1967 Abortion Act.<br>● If the wrong password is given the program <font color=""""#0080bc"""">aborts</font>.<br>● the crew <font color=""""#0080bc"""">aborted</font> the <font color=""""#0080bc"""">take- off</font><br>● <font color=""""#0080bc"""">abort a trip</font> because of illness<br>● The plane had already started its descent when the pilot received orders to <font color=""""#0080bc"""">abort</font> his landing.<br>● They had to unwillingly <font color=""""#0080bc"""">abort</font> their plans when they found out someone else had the party room rented out.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrupt,adj.,/əˈbrʌpt/,sudden and unexpected.,ناگهانی، غیرمنتظره - تند، بی‌ادب,sudden,/ˈsʌdn/,"""<img src=""""paste-8689688eeaa86e67a7549500fbe54027c01e9527.jpg"""">""","""● an <font color=""""#0080bc"""">abrupt change</font> of plan<br>● I was surprised by the <font color=""""#0080bc"""">abrupt change</font> of subject.<br>● His <font color=""""#0080bc"""">abrupt change</font> of subject left her floundering helplessly.<br>● He is liable to <font color=""""#0080bc"""">abrupt</font> mood swings (swings of mood).<br><b><font color=""""red"""" style="""""""">come/bring to an abrupt end/halt etc</font></b><br>● The bus <font color=""""#0080bc"""">came to an abrupt halt</font>.<br>● The accident <font color=""""#0080bc"""">brought</font> his career <font color=""""#0080bc"""">to an abrupt end</font>.<br>● Our conversation <font color=""""#0080bc"""">came to an abrupt end</font> when George burst into the room.<br>● I was slightly disappointed with the ending as I<br>thought it was a little <font color=""""#0080bc"""">abrupt</font>, but overall I enjoyed it.<br><br>● Sorry, I didn’t mean to be so <font color=""""#0080bc"""">abrupt</font>.<br>● She was very <font color=""""#0080bc"""">abrupt</font> with me in our meeting.<br>● He is sometimes very <font color=""""#0080bc"""">abrupt with</font> clients.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abruptly,adv.,/əˈbrʌptli/,suddenly,ناگهان,suddenly,/ˈsʌdnli/,"""<img src=""""abrupt (1).jpg"""">""","""● The moment was <font color=""""#0080bc"""">abruptly</font> shattered by the sound of Mia's loud voice.<br>● The interview ended <font color=""""#0080bc"""">abruptly</font>.<br>● All these ideas for expansion were <font color=""""#0080bc"""">abruptly</font> halted by the outbreak of war.<br>● He stopped <font color=""""#0080bc"""">abruptly</font>, suddenly afraid to say the words out loud.<br>● She <font color=""""#0080bc"""">abruptly</font> ran off when Lawrence was 7, so the family raised him.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorb,v.,/əbˈzɔːrb/,"take in or soak up (energy or a liquid or other substance) by chemical or physical action; take in and understand fully (information, ideas, or experience); take up the attention of (someone); interest greatly.",جذب کردن، یاد گرفتن,appeal,"""/əˈpiːl/<font color=""""darkblue""""> &nbsp; learn</font> <font color=""""darkblue""""> &nbsp; take in</font> <br> [sound:learn.mp3][sound:take-in.mp3]""","""<img src=""""paste-35472134897665.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● As the poison is <font color=""""#0080bc"""">absorbed</font>, the deer then suffers from a rapidly increasing paralysis.<br>● This material <font color=""""#0080bc"""">absorbs</font> the sound, and doesn't reflect it.<br>● The ozone layer <font color=""""#0080bc"""">absorbs</font> solar radiation.<br>● Towels <font color=""""#0080bc"""">absorb</font> moisture.<br>● This work had <font color=""""#0080bc"""">absorbed</font> him for several years.<br>● The project has <font color=""""#0080bc"""">absorbed</font> all of our department's resources.<br>● buildings can be designed to <font color=""""#0080bc"""">absorb</font> and retain heat.<br>● My guess is we won't have to <font color=""""#0080bc"""">absorb</font> all this information.<br>● deep-pile carpets <font color=""""#0080bc"""">absorbed</font> all sound of the outside world.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
