Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B01_U01_0001,agree,,[əgríː],v.,To <i>agree</i> is to have the same opinion or belief as another person.,The students <b>agree</b> they have too much homework.,The students {{c1::agree}} they have too much homework.,"""<img src=""""4000EEW_B01_U01_0001.jpg"""">""",[sound:4000EEW_B01_U01_0001.word.mp3],[sound:4000EEW_B01_U01_0001.definition.mp3],[sound:4000EEW_B01_U01_0001.example.mp3]
4000EEW_B01_U01_0002,alcohol,,[ǽlkəhɔ̀ːl],n.,<i>Alcohol</i> is a type of drink that can make people drunk.,A person should not drive a car after he or she has been drinking <b>alcohol</b>.,A person should not drive a car after he or she has been drinking {{c1::alcohol}}.,"""<img src=""""4000EEW_B01_U01_0002.jpg"""" />""",[sound:4000EEW_B01_U01_0002.word.mp3],[sound:4000EEW_B01_U01_0002.definition.mp3],[sound:4000EEW_B01_U01_0002.example.mp3]
4000EEW_B01_U01_0003,arrive,"""<span style=""""background-color: rgb(255, 255, 255);"""">to get to the place you are going to</span>""",[əráiv],v.,To <i>arrive</i> is to get somewhere.,They <b>arrived</b> at school at 7 a.m.,They {{c1::arrived}} at school at 7 a.m.,"""<img src=""""4000EEW_B01_U01_0003.jpg"""">""",[sound:4000EEW_B01_U01_0003.word.mp3],[sound:4000EEW_B01_U01_0003.definition.mp3],[sound:4000EEW_B01_U01_0003.example.mp3]
4000EEW_B01_U01_0004,August,,[ɔ́ːgəst],n.,<i>August</i> is the eighth month of the year.,Is your birthday in <b>August</b>?,Is your birthday in {{c1::August}}?,"""<img src=""""4000EEW_B01_U01_0004.jpg"""" />""",[sound:4000EEW_B01_U01_0004.word.mp3],[sound:4000EEW_B01_U01_0004.definition.mp3],[sound:4000EEW_B01_U01_0004.example.mp3]
4000EEW_B01_U01_0005,boat,,[bout],n.,A <i>boat</i> is a vehicle that moves across water.,There is a small <b>boat</b> on the lake.,There is a small {{c1::boat}} on the lake.,"""<img src=""""4000EEW_B01_U01_0005.jpg"""" />""",[sound:4000EEW_B01_U01_0005.word.mp3],[sound:4000EEW_B01_U01_0005.definition.mp3],[sound:4000EEW_B01_U01_0005.example.mp3]
4000EEW_B01_U01_0006,breakfast,"""I had toast and coffee <b>for breakfast</b>.<br><span style=""""background-color: rgb(255, 255, 255);"""">You use&nbsp;</span><span style=""""font-weight: bold; background-color: rgb(255, 255, 255);"""">at breakfast</span><span style=""""background-color: rgb(255, 255, 255);"""">&nbsp;to talk about something that happens while you are eating breakfast:</span><span style=""""color: gray; background-color: rgb(255, 255, 255);"""">I saw her this morning at breakfast.</span>""",[brekfəst],n.,<i>Breakfast</i> is the morning meal.,I ate eggs for <b>breakfast</b>.,I ate eggs for {{c1::breakfast}}.,"""<img src=""""4000EEW_B01_U01_0006.jpg"""">""",[sound:4000EEW_B01_U01_0006.word.mp3],[sound:4000EEW_B01_U01_0006.definition.mp3],[sound:4000EEW_B01_U01_0006.example.mp3]
4000EEW_B01_U01_0007,camera,"""<span style=""""font-weight: bold; background-color: rgb(255, 255, 255);"""">on/off camera</span><span style=""""color: rgb(54, 67, 149); background-color: rgb(255, 255, 255);""""><span style=""""color: black;"""">&nbsp;(=</span>while a camera is recording or not recording<span style=""""color: black;"""">)<br></span></span><span style=""""color: rgb(51, 51, 51); font-style: italic; background-color: rgb(255, 255, 255);"""">Are you prepared to tell your story <b>on camera</b>? (on TV)</span>""",[kǽmərə],n.,A <i>camera</i> is a piece of equipment that takes pictures.,I brought my <b>camera</b> on my vacation.,I brought my {{c1::camera}} on my vacation.,"""<img src=""""4000EEW_B01_U01_0007.jpg"""">""",[sound:4000EEW_B01_U01_0007.word.mp3],[sound:4000EEW_B01_U01_0007.definition.mp3],[sound:4000EEW_B01_U01_0007.example.mp3]
4000EEW_B01_U01_0008,capital,"""<div><div><span style=""""font-weight: bold;"""">make capital (out) of something</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to use a situation for your own advantage<br></span></span>Example:&nbsp;<span style=""""font-weight: inherit; font-style: italic;"""">The opposition parties are making political capital out of the government's problems.</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><br></span>""",[kæpətl],n.,A <i>capital</i> is a city where a country’s government is based.,"The <b>capital</b> of the United States is Washington, D.C.","The {{c1::capital}} of the United States is Washington, D.C.","""<img src=""""4000EEW_B01_U01_0008.jpg"""">""",[sound:4000EEW_B01_U01_0008.word.mp3],[sound:4000EEW_B01_U01_0008.definition.mp3],[sound:4000EEW_B01_U01_0008.example.mp3]
4000EEW_B01_U01_0009,catch,"""<span style=""""color: rgb(51, 51, 51); font-weight: 700; background-color: rgb(255, 255, 255);"""">catch somebody red-handed<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: inherit; font-weight: inherit;"""">to catch someone in the act of doing something wrong or committing a crime<br>Example: While the lady was leaving the crime scene, An officer caught her red-handed.<br></span></span></span><div><div><span style=""""font-weight: bold;"""">catch somebody's eye</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to attract someone's attention. Example:&nbsp;<span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-weight: inherit;""""><span style=""""font-weight: inherit;""""><i>Can you catch the waiter's eye?</i><br>I cautght her eyes while she was trying to pick up her wallet.<br></span></span></span></span></span><div><div><span style=""""font-weight: bold;"""">be caught short</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to be put at a&nbsp;</span></span><span style=""""color: rgb(51, 51, 51);"""">disadvantage<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">Example:&nbsp;</span></span>During the exam, I was caught short when I realized I had forgotten my calculator, which was essential for solving the complex math problems.<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;""""><br></span></span><div><div><span style=""""font-weight: bold;"""">(caught/stuck) between a rock and a hard place</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">in a situation where you have to choose between two things, both of which&nbsp;</span></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">are unpleasant<br></span>Example: you cought me between a rock and a hard place with this demand.""",[kætʃ],v.,To <i>catch</i> is to grab or get something.,Did you <b>catch</b> the ball during the baseball game?,Did you {{c1::catch}} the ball during the baseball game?,"""<img src=""""4000EEW_B01_U01_0009.jpg"""">""",[sound:4000EEW_B01_U01_0009.word.mp3],[sound:4000EEW_B01_U01_0009.definition.mp3],[sound:4000EEW_B01_U01_0009.example.mp3]
4000EEW_B01_U01_0010,duck,"""<div><div><span style=""""font-weight: bold;"""">a dead duck</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">a plan, an event, etc., that has failed or is certain to fail and that is therefore not worth discussing<br>Tosan company is a dead duck for me.<br></span></span><span style=""""color: rgb(51, 51, 51); font-weight: 700; background-color: rgb(255, 255, 255);"""">get/have (all) your ducks in a row<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">to have made all the preparations needed to do something; to be well organized<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">Example: I should get all my ducks in a row before the big exam</span>""",[dʌk],n.,A <i>duck</i> is a small water bird.,People feed <b>ducks</b> at the lake.,People feed {{c1::ducks}} at the lake.,"""<img src=""""4000EEW_B01_U01_0010.jpg"""">""",[sound:4000EEW_B01_U01_0010.word.mp3],[sound:4000EEW_B01_U01_0010.definition.mp3],[sound:4000EEW_B01_U01_0010.example.mp3]
4000EEW_B01_U01_0011,enjoy,,[indʒɔ́i],v.,To <i>enjoy</i> is to like something.,The woman <b>enjoys</b> riding her bicycle.,The woman {{c1::enjoys}} riding her bicycle.,"""<img src=""""4000EEW_B01_U01_0011.jpg"""" />""",[sound:4000EEW_B01_U01_0011.word.mp3],[sound:4000EEW_B01_U01_0011.definition.mp3],[sound:4000EEW_B01_U01_0011.example.mp3]
4000EEW_B01_U01_0012,invite,,[inváit],v.,To <i>invite</i> is to ask someone to come to a place or event.,I will <b>invite</b> my friends to my birthday party.,I will {{c1::invite}} my friends to my birthday party.,"""<img src=""""4000EEW_B01_U01_0012.jpg"""" />""",[sound:4000EEW_B01_U01_0012.word.mp3],[sound:4000EEW_B01_U01_0012.definition.mp3],[sound:4000EEW_B01_U01_0012.example.mp3]
4000EEW_B01_U01_0013,love,,[lʌv],v.,To <i>love</i> is to like something or someone a lot.,I <b>love</b> my family very much.,I {{c1::love}} my family very much.,"""<img src=""""4000EEW_B01_U01_0013.jpg"""" />""",[sound:4000EEW_B01_U01_0013.word.mp3],[sound:4000EEW_B01_U01_0013.definition.mp3],[sound:4000EEW_B01_U01_0013.example.mp3]
4000EEW_B01_U01_0014,month,,[mʌnθ],n.,A <i>month</i> is one of 12 periods of time in one year.,January is the first <b>month</b> of the year.,January is the first {{c1::month}} of the year.,"""<img src=""""4000EEW_B01_U01_0014.jpg"""" />""",[sound:4000EEW_B01_U01_0014.word.mp3],[sound:4000EEW_B01_U01_0014.definition.mp3],[sound:4000EEW_B01_U01_0014.example.mp3]
