Id,Mixed Meaning
4000EEW_B01_U01_0001,"<ul><li>When you agree with someone, you share the same opinion, feeling, or purpose, like when you agree on the movie you will go see on Saturday afternoon.</li><li>If we were living in 12th century France, we might use the phrase a gré to describe things that are favorable or go well for us. This positive outcome is still part of the verb agree, because if people agree with you, your plan or idea is the one that will be used. In grammar, subjects and verbs agree when they are both singular or both plural. For example, ""everyone is here"" agrees but ""everyone are here"" does not.</li></ul>"
4000EEW_B01_U01_0002,"<ul><li>Alcohol is a distilled or fermented drink that can make you drunk. Beer, wine and vodka are all kinds of alcohol.</li><li>Scientifically, alcohol is a liquid made up of distilled hydrocarbons that's also known as ethyl alcohol or ethanol — the same stuff found in solvents and car fuel. At the bar, alcohol is something you drink (as long as you're at least 21). Alcoholic beverages like whiskey and lager are produced by the fermentation of yeast, sugar and starches and have the power to make a person intoxicated.</li></ul>"
4000EEW_B01_U01_0003,"<ul><li>To arrive is to come to a destination. When you arrive in Paris, the first thing you should do is go and buy a croissant.</li><li>The word arrive generally means to come to a physical destination, like a place. Make sure you arrive home on time for dinner! But it can also be less literal. You can arrive at a conclusion or a decision after much thought. You can also use arrive to mean ""achieve great success,"" though for whatever reason, this specific usage tends to be in the past tense. If you serve champagne and caviar at a party, your snobby aunt might comment, ""My dear, you’ve arrived!” In this case, arrive means to come to a place of great wealth or success.</li></ul>"
4000EEW_B01_U01_0004,"<ul><li>August is not just the eighth month of the year; it also describes something esteemed or regal. The 200-year-old newspaper covering the royal wedding might be called an august institution.</li><li>The month August was named for Augustus Caesar who was an important and regal person. This is an easy way to remember the two meanings. Interestingly enough, linguists think that the word august did not descend from the same root as the month August. Find that hard to believe? August sources disagree. Oh, and don't forget to pronounce each word properly — the month has the accent on the first syllable, the adjective on the second.</li></ul>"
4000EEW_B01_U01_0005,"<ul><li>A boat is a water craft, a vessel that floats and can be propelled through the water. If you buy a private island, you'll need a boat to get there.</li><li>A lobster boat travels across ocean bays powered by a small motor, and a sail boat is moved by the wind hitting its sails at a particular angle. A much smaller type of boat is a gravy boat, a boat-shaped serving dish that holds a sauce. Boat is sometimes used as a verb, meaning ""to go out in a boat."" The Old English root is bat, ""ship or vessel,"" from a Germanic source.</li></ul>"
4000EEW_B01_U01_0006,
4000EEW_B01_U01_0007,"<ul><li>A camera records images in the form of photographs, film or video. If you want evidence that you've spotted Bigfoot in the woods behind your house, you'll need a camera.</li><li>The noun camera typically refers to a film or digital device that captures still pictures when you press a button. A film camera stores images on a strip of film that must be developed with special chemicals, while a digital camera keeps them on a memory card, and with the help of a computer you can see the pictures almost instantly. The original meaning of camera, ""vaulted building,"" came from Latin via the Greek root kamera, ""vaulted chamber.""</li></ul>"
4000EEW_B01_U01_0008,"<ul><li>Capital is the total amount of money (and things with a monetary value, like houses or cars) that a person or institution owns. A bank's capital might be in the billions, while your capital barely makes it into the hundreds.</li><li>Capital comes from the Latin capitalis, or ""head,"" which some would argue is the command center of your body. Because your head is so important, capital, as a noun and as an adjective, has come to refer to the primary or chief example of something — whether it's money, a letter, a crime, or the national or state seat of a government. It can be easily confused with the American word capitol, which refers to the buildings where government activities take place.</li></ul>"
4000EEW_B01_U01_0009,"<ul><li>When you catch something, you grasp it or seize it in your hands, the way you catch a basketball when your friend throws it to you.</li><li>As a verb, catch describes grabbing and holding on. Adding the preposition on means you understand something, like when you catch on to your little brother's scheme to get out of doing chores, or to describe something that's getting popular, like a pop song that catches on then becomes a huge hit. If someone tells you there's a catch, it means there is a complication, but if a person is a catch, he or she makes a good romantic partner.</li></ul>"
4000EEW_B01_U01_0010,"<ul><li>A duck is a bird that spends much of its life on or near water. You can sometimes see whole families of ducks paddling across lakes and ponds.</li><li>Ducks can be wild or domesticated — if you keep ducks in your yard, you'll need to provide them with at least a small body of water. When the word duck is a verb, it means ""to bow or dip suddenly,"" like when your kite plunges suddenly and you duck to avoid getting hit in the head. You can duck figuratively, too: ""Don't you dare duck out of helping me clean up after the party!""</li></ul>"
