Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio,Short Meaning,Long Meaning,Web World,Found
4000EEW_B01_U01_0001,agree,,[əgríː],v.,To <i>agree</i> is to have the same opinion or belief as another person.,The students <b>agree</b> they have too much homework.,The students {{c1::agree}} they have too much homework.,"""<img src=""""4000EEW_B01_U01_0001.jpg"""">""",[sound:4000EEW_B01_U01_0001.word.mp3],[sound:4000EEW_B01_U01_0001.definition.mp3],[sound:4000EEW_B01_U01_0001.example.mp3],"When you agree with someone, you share the same opinion, feeling, or purpose, like when you agree on the movie you will go see on Saturday afternoon.","If we were living in 12th century France, we might use the phrase a gré to describe things that are favorable or go well for us. This positive outcome is still part of the verb agree, because if people agree with you, your plan or idea is the one that will be used. In grammar, subjects and verbs agree when they are both singular or both plural. For example, ""everyone is here"" agrees but ""everyone are here"" does not.",agree,True
4000EEW_B01_U01_0002,alcohol,,[ǽlkəhɔ̀ːl],n.,<i>Alcohol</i> is a type of drink that can make people drunk.,A person should not drive a car after he or she has been drinking <b>alcohol</b>.,A person should not drive a car after he or she has been drinking {{c1::alcohol}}.,"""<img src=""""4000EEW_B01_U01_0002.jpg"""" />""",[sound:4000EEW_B01_U01_0002.word.mp3],[sound:4000EEW_B01_U01_0002.definition.mp3],[sound:4000EEW_B01_U01_0002.example.mp3],"Alcohol is a distilled or fermented drink that can make you drunk. Beer, wine and vodka are all kinds of alcohol.","Scientifically, alcohol is a liquid made up of distilled hydrocarbons that's also known as ethyl alcohol or ethanol — the same stuff found in solvents and car fuel. At the bar, alcohol is something you drink (as long as you're at least 21). Alcoholic beverages like whiskey and lager are produced by the fermentation of yeast, sugar and starches and have the power to make a person intoxicated.",alcohol,True
4000EEW_B01_U01_0003,arrive,"""<span style=""""background-color: rgb(255, 255, 255);"""">to get to the place you are going to</span>""",[əráiv],v.,To <i>arrive</i> is to get somewhere.,They <b>arrived</b> at school at 7 a.m.,They {{c1::arrived}} at school at 7 a.m.,"""<img src=""""4000EEW_B01_U01_0003.jpg"""">""",[sound:4000EEW_B01_U01_0003.word.mp3],[sound:4000EEW_B01_U01_0003.definition.mp3],[sound:4000EEW_B01_U01_0003.example.mp3],"To arrive is to come to a destination. When you arrive in Paris, the first thing you should do is go and buy a croissant.","The word arrive generally means to come to a physical destination, like a place. Make sure you arrive home on time for dinner! But it can also be less literal. You can arrive at a conclusion or a decision after much thought. You can also use arrive to mean ""achieve great success,"" though for whatever reason, this specific usage tends to be in the past tense. If you serve champagne and caviar at a party, your snobby aunt might comment, ""My dear, you’ve arrived!” In this case, arrive means to come to a place of great wealth or success.",arrive,True
4000EEW_B01_U01_0004,August,,[ɔ́ːgəst],n.,<i>August</i> is the eighth month of the year.,Is your birthday in <b>August</b>?,Is your birthday in {{c1::August}}?,"""<img src=""""4000EEW_B01_U01_0004.jpg"""" />""",[sound:4000EEW_B01_U01_0004.word.mp3],[sound:4000EEW_B01_U01_0004.definition.mp3],[sound:4000EEW_B01_U01_0004.example.mp3],August is not just the eighth month of the year; it also describes something esteemed or regal. The 200-year-old newspaper covering the royal wedding might be called an august institution.,"The month August was named for Augustus Caesar who was an important and regal person. This is an easy way to remember the two meanings. Interestingly enough, linguists think that the word august did not descend from the same root as the month August. Find that hard to believe? August sources disagree. Oh, and don't forget to pronounce each word properly — the month has the accent on the first syllable, the adjective on the second.",august,True
4000EEW_B01_U01_0005,boat,,[bout],n.,A <i>boat</i> is a vehicle that moves across water.,There is a small <b>boat</b> on the lake.,There is a small {{c1::boat}} on the lake.,"""<img src=""""4000EEW_B01_U01_0005.jpg"""" />""",[sound:4000EEW_B01_U01_0005.word.mp3],[sound:4000EEW_B01_U01_0005.definition.mp3],[sound:4000EEW_B01_U01_0005.example.mp3],"A boat is a water craft, a vessel that floats and can be propelled through the water. If you buy a private island, you'll need a boat to get there.","A lobster boat travels across ocean bays powered by a small motor, and a sail boat is moved by the wind hitting its sails at a particular angle. A much smaller type of boat is a gravy boat, a boat-shaped serving dish that holds a sauce. Boat is sometimes used as a verb, meaning ""to go out in a boat."" The Old English root is bat, ""ship or vessel,"" from a Germanic source.",boat,True
4000EEW_B01_U01_0006,breakfast,"""I had toast and coffee <b>for breakfast</b>.<br><span style=""""background-color: rgb(255, 255, 255);"""">You use&nbsp;</span><span style=""""font-weight: bold; background-color: rgb(255, 255, 255);"""">at breakfast</span><span style=""""background-color: rgb(255, 255, 255);"""">&nbsp;to talk about something that happens while you are eating breakfast:</span><span style=""""color: gray; background-color: rgb(255, 255, 255);"""">I saw her this morning at breakfast.</span>""",[brekfəst],n.,<i>Breakfast</i> is the morning meal.,I ate eggs for <b>breakfast</b>.,I ate eggs for {{c1::breakfast}}.,"""<img src=""""4000EEW_B01_U01_0006.jpg"""">""",[sound:4000EEW_B01_U01_0006.word.mp3],[sound:4000EEW_B01_U01_0006.definition.mp3],[sound:4000EEW_B01_U01_0006.example.mp3],,,breakfast,True
4000EEW_B01_U01_0007,camera,"""<span style=""""font-weight: bold; background-color: rgb(255, 255, 255);"""">on/off camera</span><span style=""""color: rgb(54, 67, 149); background-color: rgb(255, 255, 255);""""><span style=""""color: black;"""">&nbsp;(=</span>while a camera is recording or not recording<span style=""""color: black;"""">)<br></span></span><span style=""""color: rgb(51, 51, 51); font-style: italic; background-color: rgb(255, 255, 255);"""">Are you prepared to tell your story <b>on camera</b>? (on TV)</span>""",[kǽmərə],n.,A <i>camera</i> is a piece of equipment that takes pictures.,I brought my <b>camera</b> on my vacation.,I brought my {{c1::camera}} on my vacation.,"""<img src=""""4000EEW_B01_U01_0007.jpg"""">""",[sound:4000EEW_B01_U01_0007.word.mp3],[sound:4000EEW_B01_U01_0007.definition.mp3],[sound:4000EEW_B01_U01_0007.example.mp3],"A camera records images in the form of photographs, film or video. If you want evidence that you've spotted Bigfoot in the woods behind your house, you'll need a camera.","The noun camera typically refers to a film or digital device that captures still pictures when you press a button. A film camera stores images on a strip of film that must be developed with special chemicals, while a digital camera keeps them on a memory card, and with the help of a computer you can see the pictures almost instantly. The original meaning of camera, ""vaulted building,"" came from Latin via the Greek root kamera, ""vaulted chamber.""",camera,True
4000EEW_B01_U01_0008,capital,"""<div><div><span style=""""font-weight: bold;"""">make capital (out) of something</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to use a situation for your own advantage<br></span></span>Example:&nbsp;<span style=""""font-weight: inherit; font-style: italic;"""">The opposition parties are making political capital out of the government's problems.</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><br></span>""",[kæpətl],n.,A <i>capital</i> is a city where a country’s government is based.,"The <b>capital</b> of the United States is Washington, D.C.","The {{c1::capital}} of the United States is Washington, D.C.","""<img src=""""4000EEW_B01_U01_0008.jpg"""">""",[sound:4000EEW_B01_U01_0008.word.mp3],[sound:4000EEW_B01_U01_0008.definition.mp3],[sound:4000EEW_B01_U01_0008.example.mp3],"Capital is the total amount of money (and things with a monetary value, like houses or cars) that a person or institution owns. A bank's capital might be in the billions, while your capital barely makes it into the hundreds.","Capital comes from the Latin capitalis, or ""head,"" which some would argue is the command center of your body. Because your head is so important, capital, as a noun and as an adjective, has come to refer to the primary or chief example of something — whether it's money, a letter, a crime, or the national or state seat of a government. It can be easily confused with the American word capitol, which refers to the buildings where government activities take place.",capital,True
4000EEW_B01_U01_0009,catch,"""<span style=""""color: rgb(51, 51, 51); font-weight: 700; background-color: rgb(255, 255, 255);"""">catch somebody red-handed<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: inherit; font-weight: inherit;"""">to catch someone in the act of doing something wrong or committing a crime<br>Example: While the lady was leaving the crime scene, An officer caught her red-handed.<br></span></span></span><div><div><span style=""""font-weight: bold;"""">catch somebody's eye</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to attract someone's attention. Example:&nbsp;<span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-weight: inherit;""""><span style=""""font-weight: inherit;""""><i>Can you catch the waiter's eye?</i><br>I cautght her eyes while she was trying to pick up her wallet.<br></span></span></span></span></span><div><div><span style=""""font-weight: bold;"""">be caught short</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">to be put at a&nbsp;</span></span><span style=""""color: rgb(51, 51, 51);"""">disadvantage<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">Example:&nbsp;</span></span>During the exam, I was caught short when I realized I had forgotten my calculator, which was essential for solving the complex math problems.<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;""""><br></span></span><div><div><span style=""""font-weight: bold;"""">(caught/stuck) between a rock and a hard place</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">in a situation where you have to choose between two things, both of which&nbsp;</span></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">are unpleasant<br></span>Example: you cought me between a rock and a hard place with this demand.""",[kætʃ],v.,To <i>catch</i> is to grab or get something.,Did you <b>catch</b> the ball during the baseball game?,Did you {{c1::catch}} the ball during the baseball game?,"""<img src=""""4000EEW_B01_U01_0009.jpg"""">""",[sound:4000EEW_B01_U01_0009.word.mp3],[sound:4000EEW_B01_U01_0009.definition.mp3],[sound:4000EEW_B01_U01_0009.example.mp3],"When you catch something, you grasp it or seize it in your hands, the way you catch a basketball when your friend throws it to you.","As a verb, catch describes grabbing and holding on. Adding the preposition on means you understand something, like when you catch on to your little brother's scheme to get out of doing chores, or to describe something that's getting popular, like a pop song that catches on then becomes a huge hit. If someone tells you there's a catch, it means there is a complication, but if a person is a catch, he or she makes a good romantic partner.",catch,True
4000EEW_B01_U01_0010,duck,"""<div><div><span style=""""font-weight: bold;"""">a dead duck</span></div></div><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: inherit; font-weight: inherit;"""">a plan, an event, etc., that has failed or is certain to fail and that is therefore not worth discussing<br>Tosan company is a dead duck for me.<br></span></span><span style=""""color: rgb(51, 51, 51); font-weight: 700; background-color: rgb(255, 255, 255);"""">get/have (all) your ducks in a row<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">to have made all the preparations needed to do something; to be well organized<br></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">Example: I should get all my ducks in a row before the big exam</span>""",[dʌk],n.,A <i>duck</i> is a small water bird.,People feed <b>ducks</b> at the lake.,People feed {{c1::ducks}} at the lake.,"""<img src=""""4000EEW_B01_U01_0010.jpg"""">""",[sound:4000EEW_B01_U01_0010.word.mp3],[sound:4000EEW_B01_U01_0010.definition.mp3],[sound:4000EEW_B01_U01_0010.example.mp3],A duck is a bird that spends much of its life on or near water. You can sometimes see whole families of ducks paddling across lakes and ponds.,"Ducks can be wild or domesticated — if you keep ducks in your yard, you'll need to provide them with at least a small body of water. When the word duck is a verb, it means ""to bow or dip suddenly,"" like when your kite plunges suddenly and you duck to avoid getting hit in the head. You can duck figuratively, too: ""Don't you dare duck out of helping me clean up after the party!""",duck,True
