"Word","Soundmark","Explanation0","Example0","Equivalence0","Derivative0","Opposite0","Explanation1","Example1","Equivalence1","Derivative1","Opposite1","Explanation2","Example2","Equivalence2","Derivative2","Opposite2","Explanation3","Example3","Equivalence3","Derivative3","Opposite3","Category","Image","Audio","tags","deck"
"divulge","[dɪˈvʌldʒ]","【释】v. 泄露 to make known something private or secret","【例】Despite pressure from reporters to discuss the scandal in which Senator Scottsdale was embroiled, the press secretary would not divulge the details of the senator's upcoming public address.",,,"【反】keep secret",,,,,,,,,,,,,,,,,,"[sound:youdao-adcc525c-fdefa482-28c3db13-5c374bb3-b345bbb0.mp3]",,"GRE::新东方GRE佛脚词改"
"inadvertent","[ˌɪnədˈvɜːrtənt]","【释】adj. 粗心的，不留意的 marked by or resulting from carelessness; negligent","【例】Online shopping increases the chances of inadvertent ordering due to its increased convenience and accessibility.",,"【派】advertent（adj. 注意的，小心的）","【反】careful, intentional","【释】adj. 不是故意的 not deliberate or considered; unintentional","【例】The student made an inadvertent call to her parents when the cell phone in her back pocket pressed against the wall.",,,,,,,,,,,,,,,,"[sound:youdao-645b2034-a262ec82-7a03cb84-f60dd122-a6294987.mp3]",,"GRE::新东方GRE佛脚词改"
"panegyric","[ˌpænəˈdʒɪrɪk]","【释】n. 赞文，赞美 a formal eulogistic composition intended as a public compliment","【例】The president delivers a panegyric at the Tomb of the Unknown Soldiers every year on Veteran's Day.",,"【派】panegyrical（adj. 赞美的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-9667b863-fdbef504-8f1b5d0a-7de49072-7184cdf9.mp3]",,"GRE::新东方GRE佛脚词改"
"draconian","[drəˈkoʊniən]","【释】adj. 极其严苛的 exceedingly harsh or very severe","【例】The unusually severe ordinances banning all rehearsals in private venues were denounced by musicians as draconian.","【选】stringent, rigorous",,,,,,,,,,,,,,,,,,,,"[sound:youdao-9d349bfd-f0ce3775-6853bbe6-cccd2910-986ce0ca.mp3]",,"GRE::新东方GRE佛脚词改"
"hodgepodge","[ˈhɑːdʒpɑːdʒ]","【释】n. 混杂，混合物 a mixture of different things","【例】The Senator tried to increase his chances of winning by proposing a hodgepodge of measures appealing to different interests in the Democratic Party rather than enforcing a singular message.","【选】patchwork, welter, pastiche",,,,,,,,,,,,,,,,,,,,"[sound:youdao-70d26720-a79363d5-4fd63910-2920e7e5-b00c9dbe.mp3]",,"GRE::新东方GRE佛脚词改"
"incontrovertible","[ˌɪnkɑːntrəˈvɜːrtəbl]","【释】adj. 不容置疑的 impossible to dispute","【例】Age may be an incontrovertible number, but “old” is just a state of mind to me.",,"【派】controvert（v. 反驳，争论）",,,,,,,,,,,,,,,,,,,"[sound:youdao-1cf9d5d2-5820f1ef-e91301de-cbac0eac-2197152c.mp3]",,"GRE::新东方GRE佛脚词改"
"impartial","[ɪmˈpɑːrʃl]","【释】adj. 公正的，不偏不倚的 not partial or biased","【例】Judges play an important role in a country's system of justice as impartial decision-makers who are not swayed by emotions, relations or selfish gains.","【选】disinterested, fair, detachment","【派】partial（adj. 有偏见的，偏袒的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-2b6bedbe-702b8216-d2dbe893-0a6479ff-5135732d.mp3]",,"GRE::新东方GRE佛脚词改"
"endemic","[enˈdemɪk]","【释】adj. 地方性的，流行的 prevalent in or limited to a particular locality, region, or people","【例】Almost all the organisms in the Western Ghats are endemic to India and need to be conserved to ensure their continued survival for future generations.","【选】native, domestic, indigenous",,"【反】exotic, imported, introduced","【释】adj. （问题、情形）常见的 common in or inherent to an enterprise or situation","【例】The endemic corruption that had long crippled Nigeria was clamped down when Muhammadu Buhari took the office in 2015 and prosecuted hundreds of people.",,,,,,,,,,,,,,,,"[sound:youdao-d0671289-2912490c-41cee870-d39438e3-7756da43.mp3]",,"GRE::新东方GRE佛脚词改"
"minuscule","[ˈmɪnəskjuːl]","【释】adj. 微小的 very small and tiny","【例】Singapore may be a minuscule country, but it sure is a crowded one with almost 8,000 people per square kilometer!","【选】diminutive",,,,,,,,,,,,,,,,,,,,"[sound:youdao-c272faf7-44e8c636-e7368255-a9af0c9f-d92e6793.mp3]",,"GRE::新东方GRE佛脚词改"
"lucrative","[ˈluːkrətɪv]","【释】adj. 盈利的，赚钱的 producing wealth","【例】Although many novelists write for artistic reasons, others are lured by the money as popular success in writing can also be extremely lucrative.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-bfc32734-e65c8718-a9cfc43a-7b274c41-39f8cb3a.mp3]",,"GRE::新东方GRE佛脚词改"
"compensate","[ˈkɑːmpenseɪt]","【释】v. 弥补 to offset an error, defect, or undesired effect","【例】In order to compensate for the loss of natural wetlands used by migrating snow geese, conservationists in the 1960s and 1970s established wetland refuges in the northern prairies.",,,,"【释】v. 抵消 to serve as or provide a substitute or counter balance","【例】The baker intelligently compensated for the lack of baking powder by using carbonated water in the pancake recipe.","【选】offset",,,,,,,,,,,,,,,"[sound:youdao-0d2a96f6-0756ce53-e4e77667-236555cb-cc5df11c.mp3]",,"GRE::新东方GRE佛脚词改"
"discursive","[dɪsˈkɜːrsɪv]","【释】adj. 杂乱无章的 moving from topic to topic without order; rambling","【例】This biography of Charles Dickens is not a succinct portrait of the writer as it is padded with many undigested and discursive excerpts from his personal writings and letters.","【选】aimless, digressional, rambling",,,"【释】adj. 推论的 marked by analytical reasoning","【例】The mathematician excelled professionally due to his discursive mind, but his lack of empathy made him a loner in his personal life.",,,,,,,,,,,,,,,,"[sound:youdao-1fede680-38bbc3f8-f48adbcf-e270a153-6ce58a72.mp3]",,"GRE::新东方GRE佛脚词改"
"presuppose","[ˌpriːsəˈpoʊz]","【释】v. 假定 to require as an antecedent in logic or fact","【例】The burnt timbers and broken pottery found by the archaeologists presupposed the destruction of a previous settlement.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-33ca49a5-c1bc790c-83565938-40eefbcc-5e27d515.mp3]",,"GRE::新东方GRE佛脚词改"
"intermediary","[ˌɪntərˈmiːdieri]","【释】adj. （作为）中间人（的） acting as a mediator","【例】Many Hong Kong banks make use of their extensive customer networks and familiarity with conditions in China to serve as intermediary organizations between Chinese and overseas businessmen.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-01ad4bdf-762c341a-a38a3a4d-61356247-019fcb54.mp3]",,"GRE::新东方GRE佛脚词改"
"derogate","[ˈderəɡeɪt]","【释】v. 贬低 to cause to seem inferior","【例】It was not right of the construction supervisor to derogate the foreign workers in such a demeaning manner for a trivial mistake that could have been made by anyone.",,"【派】derogatory（adj. 贬低的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-8ac3fe0a-4d2a4061-67f2b769-6103b22a-b3f43f5a.mp3]",,"GRE::新东方GRE佛脚词改"
"overbearing","[ˌoʊvərˈberɪŋ]","【释】adj. 专横的，压倒性的 often trying to control the behavior of other people in an annoying or unwanted way","【例】My sister eventually moved out of the house as her mother-in-law was too overbearing and always restricted her choices and decisions.","【选】dominant",,,,,,,,,,,,,,,,,,,,"[sound:youdao-92d35b1f-c1179552-bb5b737c-92278eea-8d5f6022.mp3]",,"GRE::新东方GRE佛脚词改"
"zealous","[ˈzeləs]","【释】adj. 对（某人或偶像）狂热的 marked by fervent partisanship for a person, a cause, or an ideal","【例】The politician was too zealous in his push for implementing large-scale social initiatives and ended up losing votes from other minority populations.","【选】impassioned, fervent, fiery, passionate","【派】zealotry（n. 狂热的态度或行为）",,,,,,,,,,,,,,,,,,,"[sound:youdao-5e90fd8a-c93a6a4f-745de8d9-eaefcbfe-415453bf.mp3]",,"GRE::新东方GRE佛脚词改"
"extraneous","[ɪkˈstreɪniəs]","【释】adj. 不重要的，不相关的 not important","【例】Deleting my social media accounts has allowed me to cut out extraneous activities so I can focus on what really matters.","【选】irrelevant",,,"【释】adj. 外部的 coming from the outside","【例】The attendants were on the lookout for people attempting to smuggle extraneous food and drinks into the stadium.",,,,,,,,,,,,,,,,"[sound:youdao-2f0f727e-ca2c60a1-626ddafe-006dccd9-1044f5ae.mp3]",,"GRE::新东方GRE佛脚词改"
"rehash","[ˈriːhæʃ]","【释】v. （没有实质改变地）重提 to bring forth again in another form without significant alteration","【例】As Jerry had to deliver a speech this morning on a very short notice, he decided to rehash a talk that he had already given last week at the University of Cambridge.","【选】recycle",,,,,,,,,,,,,,,,,,,,"[sound:youdao-d2047894-cfeb7d7f-938a9173-6e0cafa7-3a605b52.mp3]",,"GRE::新东方GRE佛脚词改"
