Word,Mixed Meaning
(...) or so,
a matter of speculation,
solicitation,"<ul><li>Solicitation is a request for something, usually money. If you buy a fancy new house, expect a phone call from the local charity with a solicitation for a donation.</li><li>Solicitation comes from solicit, which means ""to request,"" or ""to entreat."" So solicitation is the act of requesting. There are three kinds of solicitation. One is asking for money, like when someone goes door-to-door trying to collect money for a cause. In law, solicitation means encouraging someone to commit a crime. Solicitation can also mean making a plea to someone with power to grant a request or favor, like your solicitation to the traffic judge to dismiss your ticket.</li></ul>"
abandon,"<ul><li>To abandon something is to give it up completely. If you’re in a cabin and a forest fire approaches, you’d better get in your car and abandon your cabin, or else be prepared to abandon your life.</li><li>If you abandon something, you let it go, so when you describe someone as ""acting with abandon,"" it means they have let go of restrictions or inhibitions. Maybe you like to dance with abandon in the privacy of your own room. But abandon could also mean people have abandoned their senses. To ""drive with abandon,"" for example, means to drive recklessly.</li></ul>"
abandoned,"<ul><li>There's nothing spookier than an abandoned house that's still full of dusty, decaying furniture. When something is abandoned, it's been cast off or deserted.</li><li>The adjective abandoned describes something that's been given up or discarded. You can use it to talk about a kitten abandoned at an animal shelter, an old car abandoned by the side of the road, or a person's dreams of becoming an opera singer abandoned when they had kids. It comes from the French phrase mettre a bandon, ""put someone under another's control.""</li></ul>"
aberrant,"<ul><li>Use the adjective aberrant to describe unusual conduct. Sitting in a bathtub and singing show tunes all day long might be considered aberrant behavior.</li><li>For conduct that departs from the norm, aberrant is at hand to describe it if you want to set a formal, or even scientific tone to the discussion. You can put the accent on either the first syllable (AB-er-ent) or the second (uh-BER-ent); both pronunciations are acceptable. The Latin root aberrare means ""to go astray,"" from the prefix ab- ""off, away"" plus errare ""to wander.""  Other descendants of errare in English, like error and errant, have that double -r- and also refer to something that's either not wanted or not expected.</li></ul>"
abort,"<ul><li>To abort something is to end it. When something is aborted, it's finished.</li><li>In a movie, you may have seen people on some kind of mission yelling ""Abort! Abort!"" That means ""Stop!"" When you abort a plan or activity, you're ending it, usually prematurely. If you abort a dinner, you cancel it in the middle. If the police abort a raid, they stop it after it has already begun. A writer could abort a novel after writing a chapter or two. You can't abort something that hasn't been started: that's more like canceling or postponing.</li></ul>"
abrupt,"<ul><li>An abrupt decision is one you make suddenly. An abrupt halt is one the Road Runner comes to when reaching an abrupt drop-off — you'd hear brakes squealing.</li><li>Because being abrupt with someone is often a way of showing them that you are angry, you often apologize for the appearance of it. ""I'm sorry I was abrupt. I was rushing to get to class."" The root of abrupt is Latin rumpere ""to break,"" which also gives us rupture ""break"" and interrupt ""break into.""</li></ul>"
abruptly,"<ul><li>If the weather changes abruptly, from bright and sunny to pouring down rain, you're going to get wet. When something happens abruptly, it is sudden and unexpected.</li><li>Almost anything can change abruptly, and it will always take you by surprise, whether it's the movement of a car, the mood of a movie, or the behavior of your dog. If you've ever had a conversation with someone who spoke to you abruptly, you may have found them a little rude. A physical attribute can also be described as abrupt, like when the edge of a rocky cliff drops abruptly to the ocean.</li></ul>"
absorb,"<ul><li>To absorb is to take in or suck up like a sponge. If you don't hear your mother calling because you are reading, you could say you were absorbed in the book.</li><li>If your parents buy groceries for a party you are throwing and don't make you pay, you could say that they decided to absorb the cost of the food. Young minds absorb information easily. The word, absorbent, describes something that is capable of absorbing something else. When you go swimming on a chilly day, it's best to carry an absorbent towel so that all of the water is absorbed from the surface of your skin.</li></ul>"
